questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
60525,Pohnpeian,1,"English,Chuukese",2,"French,Japanese,Latin",3,Pohnpeian,0,Pohnpeian,0,Spanish,Pohnpeian,Non-English,English,English,English,"Pohnpeian,English","Pohnpeian,English",English,"Pohnpeian,English",English,"Pohnpeian,English"
17793,Pohnpeian,1,,0,English,0,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
16401,Pohnpeian,1,Chuukese,1,English,0,"Pohnpeian,Chuukese",0,"Pohnpeian,Chuukese",0,English,"Pohnpeian,English",Bilingual,,None,,"Pohnpeian,Chuukese",Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
46864,Pohnpeian,1,,0,English,1,Pohnpeian,0,Kapingamarangi,0,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,,Pohnpeian,English,English,,Pohnpeian,Pohnpeian
17149,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,Japanese,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"Pohnpeian,English","Pohnpeian,English",Pohnpeian
36520,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,Japanese,Pohnpeian,Non-English,English,English,English,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian
19479,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,English,Pohnpeian,Pohnpeian
44003,Pohnpeian,1,,0,English,1,Pohnpeian,0,"Pohnpeian,Chuukese",0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
28765,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,Hindi,Pohnpeian,Non-English,English,English,,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
51976,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,English,"Pohnpeian,English",Bilingual,,None,,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
50555,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,1,English,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,"Pohnpeian,English",Pohnpeian
37634,Pohnpeian,1,,0,English,1,Pohnpeian,0,Pohnpeian,0,Japanese,English,English,English,English,,Pohnpeian,Pohnpeian,English,English,English,Pohnpeian
53953,Pohnpeian,1,,0,"English,Japanese",2,Pohnpeian,0,Pohnpeian,0,Korean,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,Pohnpeian,Pohnpeian,English,Pohnpeian,Pohnpeian,Pohnpeian
61729,Mwokilese,1,"Pohnpeian,English",2,"Pingelapese,Chuukese,Kosraean,Mortlockese",4,"Mwokilese,Pohnpeian",0,"Mwokilese,Pohnpeian",0,"Hawaiian,Chamorro,Carolinian","Pohnpeian,English",Bilingual,English,English,English,Mwokilese,"Pohnpeian,English",English,"Pohnpeian,English",English,Pohnpeian
27420,Pohnpeian,1,English,1,Meing,1,Pohnpeian,0,Pohnpeian,0,"English,Japanese",Pohnpeian,Non-English,Pohnpeian ,Non-English,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian,Pohnpeian
43212,Pohnpeian,1,English,1,Japanese,1,Pohnpeian,0,Pohnpeian,0,"Latin,Chuukese",Pohnpeian,Non-English,"Pohnpeian,English,Japanese",Bilingual,"Pohnpeian,English",Pohnpeian,Pohnpeian,"Pohnpeian,English",Pohnpeian,Pohnpeian,Pohnpeian
