questionnaire_id,L1,number_L1,L2_well,number_L2_well,L2_little,number_L2_little,language_mother,mother_english,language_father,father_english,languages_want_know_better,elementary_lang,elementary_lang_coded,hs_lang,hs_lang_coded,college_lang,family_lang,friends_lang,foreigners_lang,work_lang,school_lang,home_lang
31,Pohnpeian,1,"English,Chuukese",2,"Kosraean,Chamorro",2,"Pohnpeian,Chuukese,English",1,"Pohnpeian,English",1,Chinese,English,English,English,English,,"Pohnpeian,Chuukese,English","Pohnpeian,Chuukese,English",English,"English,Pohnpeian,Chuukese",,"Pohnpeian,Chuukese"
32,Ulithian,1,"English,Pohnpeian",2,Chuukese,1,"English,Ulithian",1,"Ulithian,English",1,ASL,"English,Pohnpeian",Bilingual,English,English,English,"English,Ulithian,Palauan,Japanese","English,Pohnpeian",English,English,English,"English,Ulithian,Palauan,Japanese"
33,Pohnpeian,1,"Mwokilese,English",2,,0,"Pohnpeian,Mwokilese",0,"Mortlockese,Pohnpeian,Mwokilese",0,English,"Pohnpeian,English",Bilingual,English,English,English,"Pohnpeian,Mwokilese,English","Pohnpeian,Mwokilese,English",English,English,English,"Pohnpeian,Mwokilese"
34,Pohnpeian,1,English,1,Mortlockese,1,"Pohnpeian,English",1,"Pohnpeian,English",1,Chinese,"Pohnpeian,English",Bilingual,English,English,English,Pohnpeian,"Pohnpeian,English",English,Pohnpeian,"Pohnpeian,English",Pohnpeian
35,"Chuukese,Mortlockese",2,"Pohnpeian,English",2,,0,Chuukese,0,Mortlockese,0,"Pohnpeian,English","Pohnpeian,English",Bilingual,English,English,English,"Mortlockese,Pohnpeian","Mortlockese,Pohnpeian",English,"Pohnpeian,English","Mortlockese,Pohnpeian,English","Mortlockese,Pohnpeian"
37,Pingelapese,1,"Pohnpeian,English",2,Mwokilese,1,"Pingelapese,Pohnpeian,English",1,"Pingelapese,Pohnpeian,English,Kosraean",1,Pohnpeian,Pohnpeian,Non-English,English,English,English,Pingelapese,"Pingelapese,Pohnpeian,English",English,English,"Pingelapese,Pohnpeian,English",Pingelapese
38,Mwokilese,1,English,1,Pohnpeian,1,"Mwokilese,Pohnpeian,Kosraean,English",1,"Mwokilese,Pohnpeian,English",1,Pohnpeian,English,English,English,English,English,Mwokilese,English,English,English,English,Mwokilese
39,Pohnpeian,1,English,1,Mwokilese,1,Pohnpeian,0,Pohnpeian,0,Pohnpeian,"English,Pohnpeian",Bilingual,English,English,English,Pohnpeian,Pohnpeian,English,"English,Pohnpeian",Pohnpeian,Pohnpeian
40,Pohnpeian,1,"Mwokilese,Pingelapese",2,Kosraean,1,Pohnpeian,0,Pohnpeian,0,English,Pohnpeian,Non-English,"English,Pohnpeian",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,English,English,Pohnpeian
41,Pohnpeian,1,English,1,Spanish,1,"Ngatikese,Pohnpeian,English",1,"Pohnpeian,English",1,Japanese,English,English,English,English,English,"Pohnpeian,English","Pohnpeian,English",English,English,English,"English,Pohnpeian"
36,English,1,Pohnpeian,1,Marshallese,1,English,1,"French,English",1,Pohnpeian,English,English,English,English,English,English,"English,Pohnpeian",English,"Pohnpeian,English",English,"English,Pohnpeian"
42,English,1,Pohnpeian,1,"Kosraean,Nukuoran,Chuukese",3,"English,French",1,English,1,"Irish,Spanish,French",English,English,"English,Spanish",Bilingual,English,"English,Pohnpeian","English,Pohnpeian,Kosraean","English,Pohnpeian","Pohnpeian,English","English,Pohnpeian","English,Pohnpeian"
43,Pohnpeian,1,English,1,,0,"Pohnpeian,English",1,"Pohnpeian,English",1,None,English,English,English,English,English,Pohnpeian,"English,Pohnpeian",English,,,Pohnpeian
44,Pohnpeian,1,English,1,"Chuukese,Mwokilese",2,"Pohnpeian,Mwokilese",0,Pohnpeian,0,Pohnpeian,Pohnpeian,Non-English,"English,Pohnpeian",Bilingual,English,Pohnpeian,"Pohnpeian,English",English,English,"English,Pohnpeian",Pohnpeian
45,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,"Pohnpeian,English","English,Pohnpeian",Bilingual,English,English,English,Pohnpeian,Pohnpeian,"English,Pohnpeian","Pohnpeian,English","English,Pohnpeian",Pohnpeian
46,Pohnpeian,1,"Chuukese,Yapese,Outer Island Yapese,Mwokilese,Ngatikese,Pingelapese",6,"Spanish,Marshallese,Pijin",3,"Chuukese,Pohnpeian,Ngatikese,Kosraean,Mwokilese,English",1,"Pohnpeian,Chuukese,Outer island Yapese,English,Tagalog",1,Spanish,"English,Pohnpeian",Bilingual,English,English,English,Pohnpeian,"English,Pohnpeian",English,"English,Pohnpeian","English,Pohnpeian,Marshallese,Palauan,Chuukese","Pohnpeian,English"
47,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,None,"Pohnpeian,English",Bilingual,"Pohnpeian,English",Bilingual,English,"Pohnpeian,English","Pohnpeian,English",English,"Pohnpeian,English","Pohnpeian,English","Pohnpeian,English"
48,Pohnpeian,1,English,1,,0,Pohnpeian,0,Pohnpeian,0,French,English,English,English,English,,Pohnpeian,"English,Pohnpeian",English,English,English,Pohnpeian
49,Mortlockese,1,"Chuukese,Pohnpeian,English",3,Carolinian,1,Mortlockese,0,Mortlockese,0,Pohnpeian,Mortlockese,Non-English,English,English,English,Mortlockese,"Mortlockese,Pohnpeian,Chuukese,English",English,"English,Pohnpeian","English,Pohnpeian",Mortlockese
50,Pohnpeian,1,"English,Chinese",2,"Japanese,Spanish,ASL,Tagalog",4,"English,Pohnpeian",1,"Kosraean,Japanese,Pohnpeian,English,Chuukese",1,"Chinese,Japanese,ASL,Spanish",English,English,"English,Pohnpeian",Bilingual,English,"English,Pohnpeian","English,Pohnpeian",English,"English,Pohnpeian","English,Pohnpeian","English,Pohnpeian"
